Date,finbert_composite,Cleaned News
2017-03-16,-0.7153,standard chartered fpo collects rs 381 arba oversubscribed 115 times 30300 applicants till second day
2017-03-15,-0.00455,standard chartered fpo collects rs 9296 crore 9101 applicants first day
2017-03-14,0.0258,apply standard chartered banks fpo using asba stepbystep process
2017-03-14,0.02286,profitable apply standard chartered fpo know past performance projections
2017-03-14,0.04007,standard chartered bank issuing 2558 lakh units fpo shares rs 1290unit today applicants apply 25580 units
2017-03-02,0.03317,standard chartered bank issue 2558 lakh units fpo shares rs 1290unit chaitra 1 applicants apply 25580 units
2017-02-19,0.9277,see commercial banks performed better industry second quarter mega prabhu bank lead major indicators
2017-02-15,0.2979,icra nepal assigns ipo grade 2 standard chartereds fpo highest public issue grading far
2017-02-13,0.06052,standard chartered banks 2558 lakh units fpo approved sebon rs 1290 per share likely float nlic fpo refund
2017-02-09,0.1188,standard chartered bank earns rs 74 crore q2 eps bonus capitalization
2017-01-26,-0.0007114,standard chartered bank distributing uncollected 1921 cash dividend warrant today
2017-01-25,0.04987,standard chartered banks 2558 lakh units fpo shares sebon pipeline
2017-01-24,0.04987,standard chartered banks 2558 lakh units fpo shares sebon pipeline
2017-01-16,0.01604,standard chartered bank nepal appoints nmb capital limited issue manager fpo fpo within chaitra end
2017-01-13,0.0789,standard chartered bank proposes fpo 2558140 unit shares rs 1290 per unit decision yet approve sebon 100 bonus expected premium collection reserve fy 7374
2016-12-23,0.4546,see much capital commercial banks need increase fiscal year reach nrbs requirement projected eps
2016-12-15,0.4253,standard chartered banks 30th agm today endorsing 3333 bonus share endorse fpo worth rs 330 crore
2016-12-06,0.057,reminder last day clinch 3333 bonus share standard chartered bank
2016-11-29,0.0972,know commercial banks stocks buy decreasing market exclusive study
2016-11-29,-0.1431,standard chartered bank 3333 bonus share book closure mangsir 22 6 trading days left
2016-11-24,0.11505,standard chartered bank 30th agm endorsing 3333 bonus share collect rs 330 crore fpo premium agm mangsir 30
2016-11-21,0.8486,commercial banks net profit increases 436 rs 96 arba q1 fy 207374 nepal bank leads highest profit rs 116 arba
2016-11-17,-0.04947,standard chartered bank updates interest rate
2016-11-15,0.02682,standard chartered kumari bank earns rs 3494 crore rs 1374 crore respectively q1
2016-10-24,0.05,interpretation standard chartered capital plan upon 7030 promoter public shareholding structure
2016-10-23,0.0504,capital plan standard chartered bank 33 bonus fpo worth rs 330 arba 1418 bonus share
2016-10-20,0.0529,standard chartered bank announces 3333 percent bonus share fpo shares pipeline
2016-09-29,0.0201,standard chartered prabhu citizens bank bonus right share listed nepse
2016-09-23,0.04047,see commercial banks superiors industry exclusive study
2016-09-16,0.0807,nrb bring 10m cash singapore
2016-09-04,0.7095,nrb import greenbacks beat dollar drought
2016-08-17,0.8687,commercial banks profit increases 30 fy 207273 nbl leads massive rs 301 billion net profit
2016-08-14,0.0877,standard chartered bank earns rs126 arba q4 paid capital rs 281 arba
2016-08-07,0.04803,standard chartered bank distributing 1921 cash dividend warrant today
2016-08-05,0.0533,standard chartered bank distribute 1921 cash dividend warrant shrawan 23
2016-07-18,0.2766,scbnl bags 2016 euromoney awards excellence
2016-07-13,0.02563,comparative study nabil everest standard chartered bank
2016-07-04,-0.942,agricultural development bank nepal bank exhibit staff expenses among commercial banks study
2016-06-06,-0.859,investment cycle stalled nepal
2016-06-03,0.0618,narayan elected chairperson scbnl
2016-06-03,0.0667,standard chartered bank 29th agm today endorse 25 stock 1921 cash dividend
2016-05-20,-0.8213,find companies overvalued undervalued per price earnings ratio exclusive study
2016-05-14,0.006367,commercial banks earns rs 2169 billion q3 nabil bank highest net profit
2016-05-13,0.0403,standard chartered bank 29th agm jestha 21 endorse 25 stock 1921 cash dividend
2016-05-11,-0.9585,standard chartered bank profit dwindled 530 q3 eps rs 5378
2016-04-28,0.0329,last day secure 25 stock dividend standard chartered bank ltp stood rs 3500
2016-04-21,-0.00541,standard chartered bank 29th agm jestha 21 book closure baisakh 18
2016-04-05,0.02768,everest bank standard chartered national life insurance top priority mutual fund schemes investment
2016-03-21,-0.4102,average npl commercial banks decreasing trend seven commercial banks average npl 1
2016-02-22,-0.8516,standard chartered revises proposed stock dividend 25 15 proposed cash dividend slashed 1921
2016-02-12,-0.1228,nic asia registers profit rise 3922 standard chartered earns rs 6120 crore q2
2015-12-09,0.02411,standard chartered cash dividend 2711 survive nrb scrutiny
2015-12-07,-0.001056,standard chartered bank announces 15 stock 2711 cash dividend investors expectation
2015-12-03,0.1847,standard chartered bank honored bank year award
2015-11-16,0.09155,standard chartered bank earns rs 4520 crore q1 eps stand rs 6143
2015-10-09,-0.52,standard chartered bank closes one branch hetauda branch takes toll bhairahawa branch
2015-10-01,0.0741,nrb extends deadline submit capital plan nepal sbi standard chartered bank nepal
2015-08-28,0.1699,scbnl opens new branch office bouddha
2015-08-16,-0.9004,standard chartered profit remains almost stagnant earns rs 129 billion 7172 fy
2015-07-27,-0.01729,technical analysis standard chartered bank ltd
2015-07-23,0.2118,scbnl bags digital banking award
2015-07-14,0.779,scbnl bags banking excellence award
2015-05-17,-0.9644,standard chartered q3 earnings drop 414 rs 9575 crore
2015-04-02,0.01627,scbn hands rs 55m tilganga
2015-03-12,0.01024,standard chartered bank nepal limited listed 2064892 units bonus shares nepse trading
2015-03-12,0.00583,standard chartered mithila laghubitta listed bonus shares
2015-03-10,-0.2178,banks running faster stay place
2015-02-12,0.001299,scb earns rs 6446 crore adbl earns rs 5345 crore q2
2014-12-16,0.005573,standard chartered starts distributing dividend warrants poush 6
2014-12-04,0.005985,stancharts south asian chief executive kathmandu
2014-12-04,0.02846,standard chartered hold 28th agm today 5150 dividend approved
2014-11-13,0.1343,standard chartered increase authorized capital rs 3 arba agm mangsir 18
2014-11-11,0.2079,standard chartered makes modest profit growth 465 earns rs3479 million q1
2014-10-30,-0.02814,book closure last day today clinch 515 dividend standard chartered
2014-10-27,-0.02873,standard chartereds book closure kartik 14 3 days clinch 515 dividend
2014-10-12,0.7847,stancharts seeing believing reaches fundraising milestone 75m
2014-09-28,0.03278,standard chartered pledges 515 dividend including 10 bonus share
2014-09-24,0.01497,scb joins cds 29 companies board paperless trading system
2014-09-05,0.2118,planning buy fourwheeler banks offering competitive interest rates nada auto show
2014-08-15,0.1528,income streams momentum drives standard chartereds profit earns rs 138 arba profit
2014-07-27,0.8438,scbnl bags best consumer internet bank nepal
2014-07-24,0.00622,stanchart introduces inhouse art gallery
2014-06-18,-0.6797,transaction settlement rmb cut trade costs
2014-05-11,-0.00855,bonus shares 9 companies listed
2014-05-11,0.011856,standard chartered bank nepal limited listed 1877720 units bonus shares nepse trading
2014-05-09,0.1499,standard chartered bank earned nearly rs 1 billion net profit npl stands 052
2014-05-05,0.04474,scb regional chief exec town
2014-04-03,0.0241,scb programme
2014-03-21,0.222,scb supports school
2014-02-27,0.02037,scb fund tilganga project
2014-02-11,0.9224,due provisioning rs 97 crore standard chartered makes modest profit growth 13 q2
2013-12-08,0.11945,standard chartered bonus share cash dividend warrants tomorrow
2013-12-03,0.047,standard chartered holds 27th agm
2013-11-14,0.03062,standard chartered bank limited posted net profit rs33420 million published 1st quarter company analysis fiscal year 207071
2013-11-14,0.0539,standard chartered profit grows marginally due provisioning despite good interest income
2013-11-12,0.02458,standard chartered bank limited announced 27th agm going held 18th mangsir 2070
2013-10-30,-0.10815,standard chartered book closure today
2013-10-23,0.0082,standard chartered agm december 3 hold shares till october 29 get 50 dividend
2013-10-23,-0.0705,standard chartered bank limited published 27th agm book closure date 13th kartik 2070
2013-10-02,0.0365,stancharts initiative
2013-09-19,0.048,stanchart finally declares dividends 50 pc
2013-08-31,0.076,stanchart launches risk management toolkit
2013-08-15,-0.02135,standard chartered bank limited published notice collect uncollected cash dividend till date shareholders
2013-08-14,0.0359,standard chartered bank nepal limited posted net profit rs121794 million published 4th quarter company analysis fiscal year 206970
2013-08-04,0.06445,interest rates best left market forces
2013-07-06,-0.03275,scb trading range rs1798 rs1828 month
2013-06-21,0.1478,scbnl opens day care center staff
2013-05-24,0.0609,standard chartered bank makes change
2013-05-12,0.0362,standard chartered bank nepal limited posted net profit rs84809 million published 3rd quarter company analysis fiscal year 206970
2013-04-22,0.02058,standard chartered bank nepal limited listed 2437320 units bonus share fiscal year 206869 nepse trading
2013-04-13,-0.0454,banking never easy
2013-02-10,0.03665,standard chartered bank nepal limited posted net profit rs55888 million published 2nd quarter company analysis fiscal year 206970
2013-02-08,0.0249,rana bags hr manager year2013 award
2012-12-20,0.03394,standard chartered bank limited going distribute 15 bonus share certificate 45 cash dividend warrant shareholders 9th poush 2069
2012-12-14,0.04477,stanchartered 26th agm
2012-12-14,0.007065,standard chartered bank limited published audited financial report fiscal year 206869
2012-12-01,0.02686,stanchart bags banker bank year
2012-11-22,-0.9233,stanchart reports deposits flight rates fall
2012-11-22,0.03622,standard chartered bank limited announced 26th agm going held 28th mangsir 2069
2012-11-16,0.05588,standard chartered bank limited posted net profit rs331 million published 1st quarter company analysis fiscal year 206970
2012-10-12,0.07654,standard chartered sponsor cataract surgeries
2012-08-16,-0.0445,standard chartered bank nepal ltd published list shareholders collect uncollected dividend till date
2012-08-14,0.02667,standard chartered bank nepal limited posted net profit rs 116899 million published 4th quarter company analysis fiscal year 206869
2012-05-11,0.03598,standard chartered bank limited posted net profit rs85004 million published third quarter company analysis fiscal year 206869
2012-05-10,0.02827,standard chartered charitable initiative
2012-05-04,0.01764,nrb shifting international biz citi stanchart
2012-02-12,0.02036,standard chartered bank nepal limited posted net profit rs55517 million published second quarter company analysis fiscal year 206869
2012-01-30,0.0958,stanchart nepal turns 25
2011-12-19,0.0122,standard chartered bank limited published audited financial report fiscal year 206768
2011-12-14,-0.0483,standard chartered bank limited published notice regarding distribution cash dividend warrant shareholders
2011-12-13,0.03336,stanchart holds agm
2011-12-05,-0.006596,standard chartered bank nepal new chairman
2011-11-25,-0.02002,standard chartered bank insures deposit
2011-11-21,0.02231,standard chartered bank limited announced 25th annual general meeting going held 26th mangsir 2068
2011-11-16,0.03143,standard chartered bank limited posted net profit rs33185 million published first quarter company analysis fiscal year 206869
2011-11-09,-0.3376,standard chartered bank limited rectified book closure date 25th agm
2011-11-08,-0.4863,standard chartered bank limited published book closure notice 25th agm 27th kartik 2068
2011-09-15,0.04324,bod meeting standard chartered bank proposed distribute 50 cash dividend shareholders
2011-08-15,0.04675,standard chartered bank limited posted net profit rs111917 million published fourth quarter company analysis fiscal year 206768
2011-08-10,-0.02296,standard chartered bank nepal limited published notice shareholders collect due dividend fiscal year 204546
2011-07-18,0.08484,new standard chartered bank nepal ceo
2011-05-13,0.04984,standard chartered bank limited posted net profit rs 8365 million published 3rd quarter company analysis fiscal year 206768
2011-05-09,0.03677,stanchart may interested acquisitions
2011-05-04,-0.355,standard chartered bank nepal ceo mundul retires
